Sample installed bulbs data sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100 sample bulb configuration examples are provided below.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The data has been generated stochastically, based upon statistics available from:",,,,,,,,"(1) The Lighting Association, In Home Lighting Audit Report, Domestic Lighting Report 2008.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"(2) Market Transformation Programme, Assumptions for energy scenarios in the domestic lighting sector, version 4.0, 2008.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House,Fitting,Example bulb ratings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,12,12,50,100,35,60,60,40,9,12,60,60,20,20,60,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,18,60,60,60,60,70,100,9,40,65,20,60,60,50,9,60,40,60,40,0,0,0,0,0,0,0,0,0,0,0,0,
3,27,60,60,60,60,40,35,60,60,65,9,35,60,60,100,60,60,60,60,40,100,40,60,12,60,40,50,60,0,0,0,
4,28,60,61,125,100,100,40,100,60,70,100,35,12,100,60,60,60,40,40,60,60,60,100,60,60,20,100,100,50,0,0,
5,21,9,60,500,9,56,70,50,60,60,60,60,20,35,100,35,40,60,40,60,60,40,0,0,0,0,0,0,0,0,0,
6,30,60,40,85,85,20,100,40,500,100,20,12,35,20,60,50,60,60,60,12,9,35,40,35,60,50,60,60,60,35,100,
7,22,100,60,9,100,100,12,100,40,60,60,20,20,65,75,40,60,12,100,60,100,100,35,0,0,0,0,0,0,0,0,
8,23,50,60,100,40,100,40,9,12,20,150,85,20,60,40,40,60,20,20,60,40,20,100,40,0,0,0,0,0,0,0,
9,26,70,60,60,60,100,40,60,60,60,40,40,20,500,60,60,40,60,40,60,100,35,60,60,40,60,60,0,0,0,0,
10,30,55,9,100,12,100,100,20,40,60,65,12,60,50,60,12,60,12,100,20,35,50,60,40,60,60,9,60,100,12,60,
11,26,150,55,9,100,40,100,60,60,60,40,100,60,60,60,60,60,9,100,60,60,60,50,60,20,19,100,0,0,0,0,
12,26,20,60,60,40,12,70,20,60,60,40,100,75,40,60,20,60,20,50,100,60,60,60,40,100,12,35,0,0,0,0,
13,24,55,60,60,40,100,60,500,20,60,40,12,50,60,150,60,100,35,60,60,3,100,100,35,100,0,0,0,0,0,0,
14,22,60,40,70,100,40,60,12,105,60,100,40,60,100,60,40,9,40,60,65,60,12,26,0,0,0,0,0,0,0,0,
15,21,60,40,60,12,40,100,60,40,60,40,60,40,60,205,60,35,40,60,300,20,20,0,0,0,0,0,0,0,0,0,
16,23,60,100,12,60,105,50,50,100,100,60,100,35,12,40,100,50,20,100,60,100,100,60,60,0,0,0,0,0,0,0,
17,18,40,60,60,60,40,60,35,170,40,12,100,50,20,60,12,40,60,40,0,0,0,0,0,0,0,0,0,0,0,0,
18,26,100,60,125,60,40,87,100,60,85,60,60,12,20,35,20,40,40,60,40,35,75,60,100,60,60,40,0,0,0,0,
19,25,60,40,40,40,70,70,40,40,60,60,60,35,50,100,60,100,60,20,100,12,60,100,40,60,40,0,0,0,0,0,
20,19,100,40,40,40,60,20,70,20,60,20,9,60,60,35,50,40,50,40,40,0,0,0,0,0,0,0,0,0,0,0,
21,26,40,35,40,60,500,9,40,60,60,40,50,60,60,60,60,5,60,60,35,100,60,60,50,40,40,50,0,0,0,0,
22,21,85,100,57,40,12,40,60,60,100,100,12,60,60,50,20,21,50,100,60,40,60,0,0,0,0,0,0,0,0,0,
23,20,40,100,60,9,60,40,40,20,100,100,100,100,60,300,40,100,60,100,60,20,0,0,0,0,0,0,0,0,0,0,
24,20,70,40,40,65,60,12,60,100,40,50,50,40,500,60,60,40,40,100,60,60,0,0,0,0,0,0,0,0,0,0,
25,25,20,40,40,60,50,60,100,60,100,50,60,40,40,150,40,60,100,60,40,40,35,60,20,20,100,0,0,0,0,0,
26,28,60,40,40,43,60,40,20,40,60,55,40,100,35,20,75,60,60,40,40,12,20,40,40,60,60,60,20,9,0,0,
27,18,12,40,20,60,50,40,58,105,60,65,60,40,100,60,50,40,60,60,0,0,0,0,0,0,0,0,0,0,0,0,
28,27,40,100,50,60,50,35,60,12,20,60,60,75,100,60,8,100,100,60,40,60,75,60,150,60,20,60,60,0,0,0,
29,20,40,55,40,100,56,12,40,60,60,100,100,100,40,100,100,60,20,40,60,60,0,0,0,0,0,0,0,0,0,0,
30,22,60,55,105,60,60,70,60,60,100,60,100,100,60,40,35,60,60,20,100,60,60,60,0,0,0,0,0,0,0,0,
31,26,12,60,60,105,90,100,20,100,40,50,20,100,60,60,20,150,60,60,40,60,12,40,40,65,60,20,0,0,0,0,
32,19,20,60,12,60,105,60,20,12,50,60,40,60,60,40,60,60,40,60,100,0,0,0,0,0,0,0,0,0,0,0,
33,15,60,60,60,12,20,60,60,40,100,60,40,60,40,300,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,27,300,40,100,50,60,40,120,12,20,95,50,70,100,40,40,60,100,60,100,60,20,60,100,20,60,300,60,0,0,0,
35,27,500,60,55,100,9,60,60,100,40,12,50,60,100,60,40,50,35,50,9,12,20,60,60,60,60,60,100,0,0,0,
36,38,205,20,70,60,60,9,20,35,65,100,40,40,60,60,40,60,35,35,60,20,60,65,100,100,9,35,35,60,60,60,35
37,29,60,20,70,60,100,60,100,50,60,60,100,60,100,48,40,9,60,60,60,9,76,43,12,20,20,60,60,100,12,0,
38,24,60,50,55,50,20,60,40,40,60,100,60,60,100,12,100,35,60,40,60,60,60,12,50,75,0,0,0,0,0,0,
39,21,40,60,60,12,100,60,100,60,35,60,35,40,60,40,60,100,60,100,35,60,60,0,0,0,0,0,0,0,0,0,
40,27,100,60,500,60,60,60,60,20,60,100,60,120,40,60,60,60,60,12,60,12,12,100,40,60,40,60,60,0,0,0,
41,15,60,40,100,70,100,60,60,50,60,60,67,6,40,12,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,29,60,40,100,12,40,60,60,60,20,35,60,40,20,100,20,300,50,12,60,20,60,12,14,35,93,35,60,50,60,0,
43,21,40,20,70,60,60,35,100,12,60,9,35,35,60,40,100,9,100,100,60,100,60,0,0,0,0,0,0,0,0,0,
44,27,100,60,60,9,60,40,40,40,60,60,120,40,60,60,60,20,50,87,60,150,100,100,60,55,40,60,60,0,0,0,
45,23,60,60,70,55,40,9,60,60,60,100,20,40,60,60,60,50,40,9,60,60,60,12,35,0,0,0,0,0,0,0,
46,25,60,135,60,70,100,9,50,60,60,60,100,100,60,40,20,20,20,34,12,50,50,60,60,60,50,0,0,0,0,0,
47,29,60,60,100,60,77,60,20,50,35,35,40,60,60,100,60,40,60,60,40,39,100,12,40,60,300,60,35,60,35,0,
48,25,60,100,40,20,20,60,40,60,20,60,50,40,100,50,100,12,60,100,50,60,40,60,40,300,12,0,0,0,0,0,
49,27,60,12,20,100,60,40,60,12,63,60,60,300,9,60,100,100,60,75,60,60,10,60,40,40,40,100,60,0,0,0,
50,24,60,60,60,60,100,40,9,60,40,12,100,35,12,60,60,55,60,40,100,60,100,50,75,60,0,0,0,0,0,0,
51,19,100,60,40,60,20,72,60,40,100,100,50,100,60,60,50,100,40,100,50,0,0,0,0,0,0,0,0,0,0,0,
52,20,60,12,60,35,40,60,60,60,40,50,100,60,300,100,60,35,60,60,40,40,0,0,0,0,0,0,0,0,0,0,
53,16,60,60,60,75,50,40,60,40,20,40,60,40,12,60,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,27,160,60,60,12,60,100,60,60,50,60,40,60,40,60,90,60,69,12,40,60,27,40,100,60,40,40,50,0,0,0,
55,27,170,60,105,40,61,60,60,20,65,35,300,30,60,60,100,40,100,40,60,60,60,40,12,12,40,12,100,0,0,0,
56,18,20,9,52,60,100,60,12,100,100,20,60,100,40,60,60,40,60,40,0,0,0,0,0,0,0,0,0,0,0,0,
57,23,60,40,40,12,40,85,40,100,40,40,75,60,20,60,60,35,100,100,100,150,60,73,100,0,0,0,0,0,0,0,
58,24,60,65,100,70,40,100,60,90,20,60,60,100,60,50,60,50,40,100,60,60,9,50,35,40,0,0,0,0,0,0,
59,27,40,60,60,100,75,62,17,60,20,40,100,20,81,60,60,100,100,67,60,20,40,60,40,60,20,75,100,0,0,0,
60,26,9,9,40,60,40,40,81,85,60,40,40,9,40,40,60,35,60,60,60,50,40,60,20,100,40,100,0,0,0,0,
61,29,60,60,60,100,100,100,40,90,40,40,500,100,40,60,60,70,12,60,60,60,40,40,20,35,100,40,35,20,60,0,
62,26,50,40,40,40,60,100,40,60,75,60,100,40,60,60,20,60,40,20,100,60,60,60,60,100,40,20,0,0,0,0,
63,26,20,40,35,40,60,60,60,100,40,12,40,300,60,100,40,60,300,94,40,60,40,60,20,60,100,40,0,0,0,0,
64,15,40,40,60,40,100,35,60,60,100,150,100,60,60,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,26,100,135,60,90,60,60,40,60,60,60,40,100,20,50,50,60,60,60,100,60,60,50,60,20,12,40,0,0,0,0,
66,18,20,60,60,60,20,150,100,60,100,60,40,40,20,60,60,40,40,60,0,0,0,0,0,0,0,0,0,0,0,0,
67,24,20,85,40,60,20,40,20,100,60,60,46,60,60,60,100,60,100,60,150,40,40,40,40,9,0,0,0,0,0,0,
68,31,20,75,12,100,40,100,60,60,40,60,40,40,55,60,60,35,9,60,60,45,9,40,75,40,60,40,100,60,60,100,40
69,26,60,40,60,100,500,60,40,75,100,100,35,12,60,12,9,40,60,35,60,60,60,84,60,40,500,20,0,0,0,0,
70,23,20,20,60,100,12,75,40,40,40,35,60,40,60,60,100,60,60,40,20,60,89,40,40,0,0,0,0,0,0,0,
71,25,100,100,100,60,100,35,40,40,20,100,20,90,20,40,20,12,100,50,60,20,60,50,40,100,60,0,0,0,0,0,
72,29,60,12,9,60,65,40,100,100,100,40,60,92,75,50,60,100,40,9,35,60,60,20,40,60,100,100,12,60,12,0,
73,25,100,75,40,40,100,12,60,50,83,55,60,100,9,40,100,60,60,20,40,50,60,60,20,100,100,0,0,0,0,0,
74,17,12,9,50,100,60,12,9,75,35,100,35,60,28,35,100,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,15,12,9,35,40,60,40,60,65,60,60,60,100,35,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,21,60,40,60,100,60,100,20,60,85,35,34,60,9,100,71,20,20,60,60,40,40,0,0,0,0,0,0,0,0,0,
77,31,9,12,100,100,100,20,50,60,40,50,60,60,50,60,12,60,100,60,100,60,60,60,40,20,20,60,35,35,60,35,100
78,25,55,35,60,60,20,40,40,20,60,60,60,100,20,60,40,60,60,50,40,40,35,40,60,82,60,0,0,0,0,0,
79,30,55,85,40,50,9,100,100,60,100,60,60,40,100,60,100,50,60,12,60,60,29,100,20,60,100,60,65,60,12,40,
80,27,40,46,150,100,100,100,50,40,35,100,60,100,40,12,40,60,20,60,59,100,12,50,9,60,40,60,50,0,0,0,
81,25,60,120,60,40,40,60,100,60,40,60,60,75,70,40,60,12,40,40,40,12,20,60,60,20,40,0,0,0,0,0,
82,18,70,40,100,60,85,40,60,40,60,60,60,12,60,60,45,12,40,100,0,0,0,0,0,0,0,0,0,0,0,0,
83,16,40,20,300,20,60,100,60,100,105,40,20,60,60,100,40,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,25,70,100,50,100,12,60,60,100,60,60,40,60,20,60,70,60,20,60,40,60,20,35,9,40,40,0,0,0,0,0,
85,29,100,20,35,60,60,60,60,60,40,105,60,100,40,40,20,150,100,40,100,60,100,60,60,60,60,40,100,60,100,0,
86,23,60,195,12,40,35,60,100,300,60,60,40,40,60,60,40,20,40,20,100,40,20,60,40,0,0,0,0,0,0,0,
87,27,40,60,50,40,60,100,60,175,12,50,500,60,20,100,50,12,100,60,9,60,500,40,50,60,100,60,75,0,0,0,
88,25,100,60,72,12,50,20,100,60,60,105,60,100,35,60,100,100,12,60,60,40,60,300,60,500,40,0,0,0,0,0,
89,20,60,60,60,60,40,75,100,100,60,40,150,65,60,100,35,100,60,100,60,100,0,0,0,0,0,0,0,0,0,0,
90,29,40,120,40,55,60,60,60,35,40,60,60,60,40,60,40,60,28,40,9,60,40,12,60,60,35,12,100,20,300,0,
91,20,60,40,100,150,90,60,50,60,20,20,100,150,12,100,60,20,40,60,12,60,0,0,0,0,0,0,0,0,0,0,
92,28,40,55,100,20,40,100,60,20,60,60,40,40,40,60,60,35,100,40,60,12,60,100,40,35,60,60,60,40,0,0,
93,25,40,50,150,60,100,60,40,60,50,100,100,60,60,12,100,20,60,60,65,35,60,100,60,40,60,0,0,0,0,0,
94,23,60,12,9,60,500,125,60,60,60,55,100,60,100,60,60,12,40,60,300,60,40,60,60,0,0,0,0,0,0,0,
95,17,75,35,100,9,300,12,100,40,40,60,40,150,60,60,35,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,
96,26,35,60,60,60,40,12,20,12,74,100,60,60,60,60,50,60,12,40,60,50,12,100,40,9,12,65,0,0,0,0,
97,31,100,12,9,60,60,55,60,100,60,60,66,100,40,50,60,35,20,60,40,100,60,60,100,40,60,60,60,60,65,60,36
98,25,60,60,20,20,12,60,60,60,12,20,12,60,60,60,60,50,100,65,40,50,60,60,300,60,40,0,0,0,0,0,
99,19,35,40,9,60,40,60,60,40,60,35,60,12,60,50,60,40,60,60,12,0,0,0,0,0,0,0,0,0,0,0,
100,23,60,100,35,40,40,100,60,75,60,40,40,60,500,60,40,40,60,60,35,60,60,65,100,0,0,0,0,0,0,0,
